,sessionId,predictedClass
0,100000110,0
1,200000120,0
2,500000150,0
3,500000250,0
4,700000170,0
5,800000180,0
6,1000000110,0
7,1200000112,0
8,1800000118,0
9,1800000218,0
10,1900000119,0
11,2200000122,0
12,2500000125,1
13,2600000126,0
14,2900000129,0
15,3500000135,0
16,3600000136,0
17,3700000137,0
18,3700000237,0
19,3700000337,0
20,4100000141,0
21,4200000142,0
22,4300000143,0
23,4700000147,0
24,4900000149,0
25,5200000152,0
26,5400000154,0
27,5500000155,0
28,5800000158,0
29,6200000162,1
30,6200000262,0
31,6200000362,0
32,6200000462,0
33,6500000165,0
34,6900000169,0
35,7000000170,0
36,7200000172,0
37,7300000173,1
38,7400000174,0
39,7400000274,0
40,7400000374,0
41,7400000474,1
42,7400000574,0
43,7400000674,0
44,7700000177,0
45,8000000180,0
46,8000000280,0
47,8200000182,0
48,8300000183,0
49,9300000193,0
50,9500000195,0
51,9600000196,0
52,9700000197,0
53,10300000110,0
54,10400000110,0
55,10500000110,0
56,10600000110,0
57,10800000110,0
58,10900000110,0
59,11000000111,0
60,11300000111,0
61,11500000111,0
62,11600000111,0
63,11900000111,0
64,12000000112,0
65,12100000112,0
66,12200000112,0
67,12300000112,0
68,12800000112,0
69,13300000113,0
70,13400000113,0
71,14200000114,0
72,14200000214,0
73,14400000114,0
74,14600000114,1
75,14600000214,1
76,14600000314,0
77,14600000414,0
78,14600000514,1
79,14600000614,1
80,14600000714,1
81,15400000115,0
82,15600000115,0
83,15700000115,0
84,15800000115,0
85,16400000116,0
86,16800000116,0
87,16900000216,0
88,17000000117,0
89,17100000117,0
90,17200000117,0
91,18200000118,0
92,18600000118,0
93,18700000118,0
94,18900000118,0
95,19000000119,0
96,19300000119,0
97,19600000119,0
98,20100000120,0
99,20200000120,0
100,20300000120,1
101,20400000120,0
102,20700000120,0
103,20700000220,0
104,20900000120,0
105,21000000121,0
106,21200000121,0
107,21200000221,0
108,21500000121,0
109,22200000122,0
110,22200000222,0
111,22400000122,0
112,23100000123,0
113,23300000123,0
114,23400000123,0
115,23600000123,0
116,23900000123,0
117,24100000124,0
118,24200000124,0
119,24300000124,0
120,24600000124,0
121,24700000124,0
122,25200000125,0
123,25300000125,0
124,25700000125,0
125,25900000125,1
126,26100000126,0
127,26700000126,0
128,26700000226,0
129,27200000127,0
130,27900000127,0
131,28000000128,0
132,28700000128,0
133,28800000128,1
134,29000000129,0
135,29100000129,0
136,29300000129,0
137,29400000129,0
138,29800000129,0
139,29900000129,0
140,30000000130,0
141,30000000230,0
142,30000000330,0
143,30000000430,0
144,30000000530,0
145,30000000630,0
146,30000000730,0
147,30000000830,1
148,30100000130,0
149,30600000130,0
150,30700000130,0
151,30900000130,0
152,31500000131,0
153,31900000131,0
154,32100000132,0
155,32200000132,0
156,32400000132,0
157,32600000132,0
158,32900000132,0
159,33100000133,0
160,33300000133,0
161,33300000233,1
162,33300000333,1
163,33600000133,0
164,33900000133,0
165,34200000134,0
166,34500000134,0
167,34600000134,0
168,34700000134,0
169,34800000134,0
170,34800000234,0
171,34900000134,0
172,34900000234,0
173,35300000135,0
174,35300000235,0
175,35700000135,0
176,35900000135,0
177,36200000136,0
178,36200000236,0
179,36600000236,0
180,36700000136,0
181,36700000236,0
182,36800000136,0
183,37000000137,0
184,37100000137,0
185,37300000137,0
186,38100000138,0
187,38500000138,0
188,39300000139,0
189,39500000139,0
190,39900000139,0
191,40000000140,0
192,40500000140,0
193,40500000240,0
194,40500000340,0
195,40500000440,0
196,40600000140,0
197,41200000141,0
198,41400000141,0
199,41500000141,0
200,41800000141,0
201,42100000142,1
202,42100000242,0
203,42100000342,1
204,42100000442,0
205,42600000142,0
206,42800000142,0
207,43100000143,1
208,43200000143,0
209,43200000243,0
210,43400000143,0
211,43600000143,0
212,43700000143,0
213,44000000144,0
214,44700000144,0
215,45000000145,0
216,45100000145,0
217,45500000145,0
218,45500000245,0
219,45600000145,0
220,45700000145,0
221,46300000146,0
222,46600000146,0
223,48000000148,0
224,48300000148,0
225,48400000148,0
226,48500000148,0
227,48500000248,0
228,48800000148,0
229,49100000149,0
230,49700000149,0
231,50200000150,0
232,50600000150,0
233,50700000150,0
